Location,University Name,Years,Type,Place,Group,Graduate Rate,Annual Cost,Earnings
"MITCHELL, SD",Dakota Wesleyan University,Four,Private Nonprofit,Town,Small,57%,$19k,$54k
"HUNT VALLEY, MD",Institute of Health Sciences,Certificate,Private For-Profit,Suburban,Small,87%,$22k,
"BERKELEY, CA",University of California-Berkeley,Four,Public,City,Large,94%,$15k,$92k
"HARTFORD, CT",Trinity College,Four,Private Nonprofit,City,Medium,84%,$35k,$91k
"SCHENECTADY, NY",Union College,Four,Private Nonprofit,City,Medium,86%,$36k,$89k
"PHILADELPHIA, PA",Drexel University,Four,Private Nonprofit,City,Medium,70%,$38k,$85k
"BOSTON, MA",Boston University,Four,Private Nonprofit,City,Large,89%,$27k,$83k
"BRYN MAWR, PA",Bryn Mawr College,Four,Private Nonprofit,Suburban,Small,86%,$41k,$75k
"DETROIT, MI",University of Detroit Mercy,Four,Private Nonprofit,City,Medium,69%,$16k,$71k
"ROCHESTER, MN",University of Minnesota-Rochester,Four,Public,City,Small,57%,$13k,$69k
"MINNEAPOLIS, MN",University of Minnesota-Twin Cities,Four,Public,City,Large,83%,$17k,$69k
