Location,University Name,Years,Type,Place,Group,Graduate Rate,Annual Cost,Earnings
"BOWLING GREEN, OH",Bowling Green State University-Main Campus,Four,Public,Town,Medium,65%,$21k,$48k
"TEXARKANA, TX",Texas A&M University-Texarkana,Four,Public,City,Small,50%,$13k,$46k
"SOUTH BEND, IN",Indiana University-South Bend,Four,Public,City,Medium,40%,$8k,$45k
"VALPARAISO, IN",College of Court Reporting Inc,Two,Private For-Profit,Suburban,Small,18%,$41k,$44k
"WINONA, MN",Minnesota State College Southeast,Certificate,Public,Town,Small,44%,$16k,$44k
"RICE LAKE, WI",Northwood Technical College,Certificate,Public,Town,Medium,59%,$9k,$43k
"BOSTON, MA",Emmanuel College,Four,Private Nonprofit,City,Small,67%,$32k,$68k
"NEW YORK, NY",CUNY Hunter College,Four,Public,City,Large,57%,$2k,$63k
"WORCESTER, MA",Clark University,Four,Private Nonprofit,City,Medium,77%,$28k,$62k
"JAMAICA, NY",CUNY York College,Four,Public,City,Medium,40%,$5k,$57k
"EUGENE, OR",Bushnell University,Four,Private Nonprofit,City,Small,59%,$24k,$54k
"SAINT DAVIDS, PA",Eastern University,Four,Private Nonprofit,Suburban,Small,58%,$26k,$52k
"GLENDALE, AZ",Arizona Christian University,Four,Private Nonprofit,Suburban,Small,43%,$32k,$52k
"COLUMBUS, OH",Adult and Community Education-Hudson,Certificate,Public,City,Small,95%,$16k,$52k
"RANDOLPH, VT",Vermont State University,Four,Public,Rural,Medium,62%,$21k,$50k
"DAHLONEGA, GA",University of North Georgia,Four,Public,Town,Large,39%,$11k,$50k
"NORTH NEWTON, KS",Bethel College-North Newton,Four,Private Nonprofit,Town,Small,52%,$24k,$50k
"DEVILS LAKE, ND",Lake Region State College,Two,Public,Town,Small,52%,$11k,$50k
"SALEM, OR",Corban University,Four,Private Nonprofit,City,Small,57%,$26k,$49k
"AMERICUS, GA",Georgia Southwestern State University,Four,Public,Town,Medium,44%,$12k,$49k
"DULUTH, GA",Aviation Institute of Maintenance-Atlanta,Certificate,Private For-Profit,Suburban,Small,64%,$25k,$48k
"LAS VEGAS, NV",Aviation Institute of Maintenance-Las Vegas,Certificate,Private For-Profit,City,Small,74%,$25k,$48k
"MANASSAS, VA",Aviation Institute of Maintenance-Manassas,Certificate,Private For-Profit,Suburban,Small,42%,$25k,$46k
"LEWISTON, ID",Lewis-Clark State College,Four,Public,City,Medium,49%,$13k,$46k
"SOMERS, CT",New England Tractor Trailer Training School of Connecticut,Certificate,Private For-Profit,Rural,Small,72%,$15k,$44k
"TIFFIN, OH",Tiffin University,Four,Private Nonprofit,Town,Small,48%,$24k,$36k
"POUGHKEEPSIE, NY",Vassar College,Four,Private Nonprofit,Suburban,Medium,90%,$38k,$71k
"SAN BERNARDINO, CA",California State University-San Bernardino,Four,Public,City,Large,71%,$6k,$60k
"LA MIRADA, CA",Biola University,Four,Private Nonprofit,Suburban,Medium,68%,$28k,$57k
"EDMOND, OK",Oklahoma Christian University,Four,Private Nonprofit,City,Small,54%,$21k,$49k
"CONCORD, NH",NHTI-Concord's Community College,Two,Public,Town,Medium,32%,$20k,$49k
"TERRE HAUTE, IN",Indiana State University,Four,Public,City,Medium,45%,$12k,$48k
"CLEVELAND, WI",Lakeshore Technical College,Certificate,Public,Rural,Small,57%,$9k,$47k
"BELOIT, KS",North Central Kansas Technical College,Certificate,Public,Rural,Small,68%,$17k,$47k
"SAINT CLOUD, MN",St Cloud Technical and Community College,Two,Public,City,Medium,36%,$11k,$47k
"FERGUS FALLS, MN",Minnesota State Community and Technical College,Two,Public,Rural,Medium,40%,$11k,$46k
"NORTH MANKATO, MN",South Central College,Two,Public,Suburban,Small,35%,$10k,$45k
"MEDINA, OH",Hamrick School,Certificate,Private For-Profit,Rural,Small,84%,$4k,$45k
"BRIDGEPORT, CT",New England Tractor Trailer Training School of CT-Bridgeport,Certificate,Private For-Profit,City,Small,76%,$16k,$44k
"HAMDEN, CT",Porter & Chester Institute of Hamden,Certificate,Private For-Profit,Suburban,Small,35%,$19k,$43k
"KETTERING, OH",The Modern College of Design,Two,Private For-Profit,City,Small,61%,$35k,$42k
"OAK HILL, WV",Fayette Institute of Technology,Certificate,Public,Suburban,Small,86%,$5k,$42k
"BANGOR, ME",Eastern Maine Community College,Two,Public,City,Small,33%,$8k,$42k
"MORGANTOWN, WV",Monongalia County Technical Education Center,Certificate,Public,City,Small,90%,$3k,$40k
"TOWANDA, PA",Northern Tier Career Center,Certificate,Public,Rural,Small,59%,$17k,$39k
"FAIRFIELD, ME",Kennebec Valley Community College,Two,Public,Town,Small,44%,$7k,$36k
"NEW YORK, NY",Pace University,Four,Private Nonprofit,City,Medium,62%,$31k,$70k
"COLORADO SPRINGS, CO",Colorado College,Four,Private Nonprofit,City,Medium,87%,$32k,$65k
"CONWAY, AR",Hendrix College,Four,Private Nonprofit,City,Small,70%,$23k,$60k
"BELLEVUE, WA",Bellevue College,Two,Public,City,Medium,44%,$11k,$56k
"DETROIT, MI",Wayne State University,Four,Public,City,Large,55%,$15k,$53k
"LAKEWOOD, NJ",Georgian Court University,Four,Private Nonprofit,City,Small,67%,$20k,$53k
"DELHI, NY",SUNY College of Technology at Delhi,Four,Public,Rural,Medium,52%,$17k,$52k
"NOTRE DAME, IN",Holy Cross College,Four,Private Nonprofit,Suburban,Small,44%,$26k,$50k
"COON RAPIDS, MN",Anoka-Ramsey Community College,Two,Public,Suburban,Medium,24%,$11k,$48k
"SEATTLE, WA",North Seattle College,Certificate,Public,City,Medium,34%,$8k,$48k
"CHESAPEAKE, OH",Collins Career Technical Center,Certificate,Public,Rural,Small,66%,$8k,$47k
"AKRON, OH",University of Akron Main Campus,Four,Public,City,Medium,50%,$15k,$47k
"ORRVILLE, OH",University of Akron Wayne College,Certificate,Public,Rural,Small,14%,$10k,$47k
"VIRGINIA BEACH, VA",Advanced Technology Institute,Certificate,Private For-Profit,City,Small,77%,$18k,$46k
"OKMULGEE, OK",Oklahoma State University Institute of Technology,Two,Public,Town,Medium,37%,$12k,$46k
"JEFFERSONVILLE, IN",Mid-America College of Funeral Service,Two,Private Nonprofit,Suburban,Small,72%,$25k,$45k
"GROVEPORT, OH",Eastland-Fairfield Career and Technical Schools,Certificate,Public,Suburban,Small,74%,$14k,$44k
"BANNER ELK, NC",Lees-McRae College,Four,Private Nonprofit,Rural,Small,62%,$26k,$43k
"HOUSTON, MO",Texas County Technical College,Two,Private For-Profit,Rural,Small,85%,$21k,$41k
"OIL CITY, PA",Venango County Area Vocational Technical School,Certificate,Public,Town,Small,48%,$14k,$38k
"WILMINGTON, DE",Goldey-Beacom College,Four,Private Nonprofit,Suburban,Small,61%,$17k,$60k
"WHITTIER, CA",Whittier College,Four,Private Nonprofit,Suburban,Small,67%,$30k,$59k
"NORTHRIDGE, CA",California State University-Northridge,Four,Public,City,Large,70%,$8k,$59k
"NASHVILLE, TN",Belmont University,Four,Private Nonprofit,City,Medium,71%,$32k,$56k
"LOGAN, UT",Utah State University,Four,Public,City,Large,56%,$13k,$54k
"CHICAGO, IL",Aviation Institute of Maintenance-Chicago,Certificate,Private For-Profit,City,Small,,$25k,$53k
"MCPHERSON, KS",McPherson College,Four,Private Nonprofit,Town,Small,52%,$25k,$52k
"KENOSHA, WI",University of Wisconsin-Parkside,Four,Public,Rural,Medium,43%,$10k,$51k
"KENOSHA, WI",University of Wisconsin-Parkside Flex,Four,Public,Rural,Small,,,$51k
"NORTH HOLLYWOOD, CA",Concorde Career College-North Hollywood,Certificate,Private For-Profit,City,Small,79%,$24k,$51k
"MOBILE, AL",University of South Alabama,Four,Public,City,Medium,48%,$15k,$49k
"CLEVELAND, OH",Ohio Technical College,Certificate,Private For-Profit,City,Small,71%,$28k,$48k
"SYLVANIA, OH",Lourdes University,Four,Private Nonprofit,Suburban,Small,49%,$22k,$48k
"CANTON, NY",SUNY College of Technology at Canton,Four,Public,Town,Medium,51%,$15k,$48k
"HENDERSON, TN",Freed-Hardeman University,Four,Private Nonprofit,Town,Small,62%,$20k,$47k
"LAFAYETTE, LA",University of Louisiana at Lafayette,Four,Public,City,Medium,55%,$14k,$47k
"HUNTINGTON, IN",Huntington University,Four,Private Nonprofit,Town,Small,63%,$14k,$47k
"MADISON, WI",Madison Area Technical College,Certificate,Public,City,Medium,44%,$12k,$45k
"WILLMAR, MN",Ridgewater College,Two,Public,Town,Medium,44%,$11k,$44k
"KIRKSVILLE, MO",Kirksville Area Technical Center,Certificate,Public,Town,Small,77%,$6k,$41k
"QUEENS, NY",CUNY Queens College,Four,Public,City,Medium,56%,$4k,$63k
"BAKERSFIELD, CA",California State University-Bakersfield,Four,Public,City,Medium,62%,$6k,$59k
"BOSTON, MA",Benjamin Franklin Cummings Institute of Technology,Certificate,Private Nonprofit,City,Small,54%,$16k,$58k
"HIRAM, OH",Hiram College,Four,Private Nonprofit,Rural,Small,54%,$20k,$54k
"CASSELBERRY, FL",Aviation Institute of Maintenance-Orlando,Certificate,Private For-Profit,Suburban,Small,57%,$23k,$53k
"YPSILANTI, MI",Eastern Michigan University,Four,Public,Suburban,Medium,54%,$17k,$52k
"ARKADELPHIA, AR",Ouachita Baptist University,Four,Private Nonprofit,Town,Small,63%,$22k,$52k
"LACONIA, NH",Lakes Region Community College,Two,Public,Town,Small,30%,$20k,$51k
"BROOKLYN PARK, MN",North Hennepin Community College,Two,Public,Suburban,Medium,26%,$10k,$51k
"SEWARD, AK",Alaska Vocational Technical Center,Certificate,Public,Rural,Small,86%,$12k,$51k
"GRAND RAPIDS, MI",Aquinas College,Four,Private Nonprofit,City,Small,62%,$19k,$50k
"KENMORE, WA",Bastyr University,Four,Private Nonprofit,Suburban,Small,53%,,$49k
"LITTLETON, CO",Arapahoe Community College,Certificate,Public,Suburban,Medium,26%,$11k,$48k
"BRECKSVILLE, OH",Cuyahoga Valley Career Center,Certificate,Public,Suburban,Small,70%,$20k,$48k
"LAMONI, IA",Graceland University-Lamoni,Four,Private Nonprofit,Rural,Small,59%,$16k,$47k
"POCATELLO, ID",Idaho State University,Four,Public,City,Medium,58%,$17k,$46k
"ROME, GA",Shorter University,Four,Private Nonprofit,City,Small,46%,$16k,$45k
"VIRGINIA BEACH, VA",ECPI University,Two,Private For-Profit,City,Medium,51%,$20k,$43k
"MARION, OH",Marion Technical College,Two,Public,Town,Small,27%,$6k,$41k
"UNIONTOWN, OH",Portage Lakes Career Center,Certificate,Public,Suburban,Small,67%,$19k,$38k
"BURBANK, CA",Woodbury University,Four,Private Nonprofit,City,Small,65%,$28k,$66k
"ATLANTA, GA",Spelman College,Four,Private Nonprofit,City,Medium,78%,$37k,$60k
"ALLENTOWN, PA",Welder Training and Testing Institute,Certificate,Private For-Profit,City,Small,89%,$25k,$56k
"MARSHALL, TX",East Texas Baptist University,Four,Private Nonprofit,Town,Small,42%,$24k,$53k
"YELLOW SPRINGS, OH",Antioch University,Four,Private Nonprofit,Rural,Small,57%,,$52k
"CULVER CITY, CA",Antioch University-Los Angeles,Four,Private Nonprofit,Suburban,Small,62%,,$52k
"SANTA BARBARA, CA",Antioch University-Santa Barbara,Four,Private Nonprofit,City,Small,87%,,$52k
"SEATTLE, WA",Antioch University-Seattle,Certificate,Private Nonprofit,City,Small,65%,,$52k
"SHREVEPORT, LA",Centenary College of Louisiana,Four,Private Nonprofit,City,Small,57%,$25k,$50k
"PENSACOLA, FL",University of West Florida,Four,Public,Rural,Medium,59%,$8k,$49k
"CHICAGO, IL",Roosevelt University,Four,Private Nonprofit,City,Medium,54%,$20k,$49k
"CHADRON, NE",Chadron State College,Four,Public,Town,Small,42%,$13k,$47k
"PEWAUKEE, WI",Waukesha County Technical College,Certificate,Public,Suburban,Medium,44%,$9k,$47k
"GREENVILLE, IL",Greenville University,Four,Private Nonprofit,Town,Small,57%,$21k,$47k
"DULUTH, MN",Lake Superior College,Two,Public,City,Medium,39%,$16k,$46k
"MIDWAY, KY",Midway University,Four,Private Nonprofit,Rural,Small,46%,$24k,$44k
"SAINT MARY OF THE WOODS, IN",Saint Mary-of-the-Woods College,Four,Private Nonprofit,Rural,Small,55%,$43k,$44k
"OAKLAND CITY, IN",Oakland City University,Four,Private Nonprofit,Rural,Small,65%,$13k,$43k
"NORFOLK, NE",Northeast Community College,Two,Public,Town,Medium,49%,$9k,$43k
"SAN BERNARDINO, CA",Summit College,Certificate,Private For-Profit,City,Small,74%,$24k,$40k
"FLUSHING, NY",Vaughn College of Aeronautics and Technology,Two,Private Nonprofit,City,Small,39%,$40k,$65k
"PURCHASE, NY",Manhattanville College,Four,Private Nonprofit,Suburban,Small,64%,$26k,$59k
"OLD WESTBURY, NY",SUNY Old Westbury,Four,Public,Suburban,Medium,62%,$10k,$59k
"ROCKLIN, CA",William Jessup University,Four,Private Nonprofit,Suburban,Small,63%,$25k,$56k
"JERSEY CITY, NJ",New Jersey City University,Four,Public,City,Medium,55%,$12k,$53k
"CORPUS CHRISTI, TX",Texas A & M University-Corpus Christi,Four,Public,City,Medium,44%,$15k,$52k
"AUBURN, WA",Green River College,Two,Public,City,Medium,42%,$12k,$51k
"HACKENSACK, NJ",Adult and Continuing Education-BCTS,Certificate,Public,Suburban,Small,77%,$14k,$50k
"GREENVILLE, PA",Thiel College,Four,Private Nonprofit,Town,Small,46%,$23k,$50k
"BOSTON, MA",Fisher College,Four,Private Nonprofit,City,Small,40%,$26k,$50k
"AVE MARIA, FL",Ave Maria University,Four,Private Nonprofit,Rural,Small,58%,$24k,$50k
"DEFIANCE, OH",Defiance College,Four,Private Nonprofit,Town,Small,47%,$24k,$49k
"MILWAUKEE, WI",Mount Mary University,Four,Private Nonprofit,City,Small,56%,$18k,$49k
"WILSON, NC",Barton College,Four,Private Nonprofit,Town,Small,57%,$24k,$48k
"EMORY, VA",Emory & Henry University,Four,Private Nonprofit,Rural,Small,56%,$21k,$47k
"WILLIAMSBURG, KY",University of the Cumberlands,Four,Private Nonprofit,Town,Medium,58%,$11k,$45k
"WESTMINSTER, MD",Carroll Community College,Two,Public,Town,Medium,34%,$4k,$44k
"MORRISVILLE, NY",SUNY Morrisville,Two,Public,Rural,Small,44%,$17k,$43k
"PLEASANT GAP, PA",Central Pennsylvania Institute of Science and Technology,Certificate,Public,Rural,Small,77%,$10k,$42k
"TINLEY PARK, IL",Fox College,Two,Private For-Profit,Suburban,Small,67%,$14k,$42k
"HAMPTON, VA",Hampton University,Four,Private Nonprofit,Suburban,Medium,69%,$32k,$59k
"ALISO VIEJO, CA",Soka University of America,Four,Private Nonprofit,Suburban,Small,89%,$21k,$55k
"MOUNT VERNON, IA",Cornell College,Four,Private Nonprofit,Town,Small,66%,$25k,$53k
"CEDAR CITY, UT",Southern Utah University,Two,Public,Town,Medium,54%,$11k,$50k
"LINDSBORG, KS",Bethany College,Four,Private Nonprofit,Rural,Small,41%,$29k,$50k
"WALESKA, GA",Reinhardt University,Four,Private Nonprofit,Rural,Small,42%,$28k,$47k
"DENVER, CO",Lincoln College of Technology-Denver,Certificate,Private For-Profit,City,Small,63%,$32k,$46k
"GRAND PRAIRIE, TX",Lincoln College of Technology-Grand Prairie,Certificate,Private For-Profit,Suburban,Small,71%,$30k,$46k
"INDIANAPOLIS, IN",Lincoln College of Technology-Indianapolis,Certificate,Private For-Profit,City,Small,53%,$30k,$46k
"NASHVILLE, TN",Lincoln College of Technology-Nashville,Certificate,Private For-Profit,City,Small,66%,$28k,$46k
"MAHWAH, NJ",Lincoln Technical Institute-Mahwah,Certificate,Private For-Profit,Suburban,Small,71%,$29k,$46k
"SOUTH PLAINFIELD, NJ",Lincoln Technical Institute-South Plainfield,Certificate,Private For-Profit,Suburban,Small,75%,$29k,$46k
"UNION, NJ",Lincoln Technical Institute-Union,Certificate,Private For-Profit,Suburban,Small,68%,$25k,$46k
"WHITESTONE, NY",Lincoln Technical Institute-Whitestone,Certificate,Private For-Profit,City,Small,54%,$33k,$46k
"OWENSBORO, KY",Brescia University,Four,Private Nonprofit,City,Small,47%,$15k,$46k
"TAHLEQUAH, OK",Northeastern State University,Four,Public,Town,Medium,47%,$12k,$45k
"WISE, VA",University of Virginia's College at Wise,Four,Public,Town,Small,47%,$11k,$45k
"ADA, OK",East Central University,Four,Public,Town,Medium,40%,$9k,$45k
"BATESVILLE, AR",Lyon College,Four,Private Nonprofit,Town,Small,47%,$23k,$44k
"BEMIDJI, MN",Northwest Technical College,Two,Public,Town,Small,47%,$13k,$43k
"NEW YORK, NY",CUNY City College,Four,Public,City,Medium,58%,$3k,$66k
"KALAMAZOO, MI",Kalamazoo College,Four,Private Nonprofit,City,Small,80%,$19k,$66k
"DUDLEY, MA",Nichols College,Four,Private Nonprofit,Suburban,Small,58%,$31k,$58k
"QUINCY, MA",Eastern Nazarene College,Four,Private Nonprofit,Suburban,Small,49%,$18k,$55k
"BERRIEN SPRINGS, MI",Andrews University,Four,Private Nonprofit,Town,Small,64%,$19k,$53k
"WICHITA, KS",Friends University,Four,Private Nonprofit,City,Small,45%,$26k,$52k
"CHANDLER, AZ",Chandler-Gilbert Community College,Certificate,Public,City,Medium,28%,$13k,$51k
"BELLINGHAM, WA",Bellingham Technical College,Two,Public,City,Small,51%,$5k,$50k
"OLIVET, MI",The University of Olivet,Four,Private Nonprofit,Rural,Small,47%,$21k,$48k
"GREENSBORO, NC",Guilford College,Four,Private Nonprofit,City,Small,51%,$21k,$48k
"NEW ULM, MN",Martin Luther College,Four,Private Nonprofit,Town,Small,71%,$20k,$47k
"FAIRMONT, WV",Fairmont State University,Four,Public,Town,Medium,53%,$9k,$47k
"PHOENIX, AZ",GateWay Community College,Certificate,Public,City,Medium,31%,$13k,$46k
"PHOENIX, AZ",GateWay Community College-Central City,Certificate,Public,City,Small,43%,$4k,$46k
"SUMMERDALE, PA",Central Penn College,Four,Private For-Profit,Suburban,Small,41%,$19k,$45k
"DURANT, OK",Southeastern Oklahoma State University,Four,Public,Town,Medium,40%,$6k,$45k
"BILLINGS, MT",Montana State University Billings,Four,Public,City,Medium,34%,$15k,$44k
"MARTIN, TN",The University of Tennessee-Martin,Four,Public,Town,Medium,52%,$10k,$44k
"DALLAS, TX",Parker University,Two,Private Nonprofit,City,Small,64%,$25k,$42k
"BLUE MOUNTAIN, MS",Blue Mountain Christian University,Four,Private Nonprofit,Rural,Small,60%,$18k,$40k
"BOWIE, MD",Bowie State University,Four,Public,Suburban,Medium,51%,$19k,$55k
"FREDONIA, NY",SUNY at Fredonia,Four,Public,Town,Medium,64%,$16k,$54k
"DOBBS FERRY, NY",Mercy University,Four,Private Nonprofit,Suburban,Medium,57%,$16k,$52k
"TEMPE, AZ",University of Advancing Technology,Four,Private For-Profit,City,Small,45%,$21k,$51k
"MEMPHIS, TN",University of Memphis,Four,Public,City,Medium,55%,$13k,$48k
"GREENSBORO, NC",University of North Carolina at Greensboro,Four,Public,City,Medium,58%,$10k,$48k
"SCRANTON, PA",Career Technology Center of Lackawanna County,Certificate,Public,City,Small,72%,$16k,$46k
"ASHTABULA, OH",Kent State University at Ashtabula,Two,Public,Town,Small,24%,$11k,$45k
"EAST LIVERPOOL, OH",Kent State University at East Liverpool,Two,Public,Town,Small,18%,$11k,$45k
"BURTON, OH",Kent State University at Geauga,Two,Public,Rural,Small,24%,$11k,$45k
"KENT, OH",Kent State University at Kent,Four,Public,Suburban,Large,64%,$20k,$45k
"SALEM, OH",Kent State University at Salem,Two,Public,Rural,Small,26%,$12k,$45k
"NORTH CANTON, OH",Kent State University at Stark,Two,Public,Suburban,Medium,29%,$11k,$45k
"WARREN, OH",Kent State University at Trumbull,Two,Public,Rural,Small,21%,$11k,$45k
"NEW PHILADELPHIA, OH",Kent State University at Tuscarawas,Two,Public,Town,Small,34%,$11k,$45k
"AUSTIN, MN",Riverland Community College,Two,Public,Town,Small,40%,$8k,$45k
"ALVA, OK",Northwestern Oklahoma State University,Four,Public,Town,Small,34%,$11k,$44k
"GREENVILLE, SC",Bob Jones University,Four,Private Nonprofit,City,Medium,63%,$18k,$44k
"KAYSVILLE, UT",Davis Technical College,Certificate,Public,Suburban,Medium,46%,$11k,$42k
"PHARR, TX",Rio Grande Valley College,Certificate,Private For-Profit,City,Small,79%,$21k,
"WASHINGTON, PA",Washington Health System School of Nursing,Certificate,Private Nonprofit,Suburban,Small,,,$64k
"WASHINGTON, DC",Howard University,Four,Private Nonprofit,City,Medium,62%,$48k,$63k
"RIVERSIDE, CA",La Sierra University,Four,Private Nonprofit,City,Small,44%,$26k,$62k
"JERSEY CITY, NJ",Saint Peter's University,Four,Private Nonprofit,City,Small,58%,$13k,$58k
"LAS VEGAS, NV",University of Nevada-Las Vegas,Four,Public,City,Large,53%,$10k,$55k
"LEXINGTON, KY",Transylvania University,Four,Private Nonprofit,City,Small,73%,$24k,$55k
"ANCHORAGE, AK",University of Alaska Anchorage,Four,Public,City,Medium,33%,$14k,$52k
"GREAT FALLS, MT",University of Providence,Four,Private Nonprofit,City,Small,60%,$21k,$48k
"ROCK HILL, SC",Winthrop University,Four,Public,City,Medium,59%,$16k,$47k
"AUBURN, NY",Cayuga Onondaga BOCES-Practical Nursing Program,Certificate,Public,Town,Small,,$33k,$45k
